Movie_name,Movie_Genre,Movie_Certification,Release,Runtime,Lead_Actor,Lead_Actress,Movie_Critic_Rating,Movie_User_Rating,Movie_Synopsis,Movie_Full_Cast
Inam,Drama,UA,28 Mar 2014,2 hrs 3 mins,,,3.5,3.5,"Inam wants to show how war can tear apart the moral fibre of humans, and how it affects even those who aren’t involved in the fighting","Sugandha Ram, Star Karan, Saritha, Karunas, Shyam Sundar, Janaki"
Cuckoo,Romance,UA,21 Mar 2014,2 hrs 42 mins,Dinesh,Malavika,3.5,4,The film would have benefitted if it had gone through another round or two of editing at the scripting stage.,"Dinesh, Malavika, Ilango, Aadukalam Murugadas"
Vallinam,Sports,UA,28 Feb 2014,2 hrs 27 mins,,,3.5,3.7,The filmmaking too is a bit heavy-handed here when a little bit of understatement would have been welcome,"Nagulan, Mrudhula, Sidhu, Atul Kulkarni, Amzath, Jegan, Chandru, Jayaprakash"
Goli Soda,Action,UA,24 Jan 2014,2 hrs 4 mins,,,3.5,4.2,Four lads find themselves in a situation where they have to take on a powerful man (and his innumerable henchmen) to reclaim their identity.,"Kishore, Sreeram, Pandi, Murugesh, Chandhini, Seetha, Sujatha, Madhusudhan, RK Vijaimurugan, Imman Annachi"
Jilla,Action,UA,10 Jan 2014,3 hrs 2 mins,Vijay,Kajal Aggarwal,3.5,4.4,"As far as commercial films are concerned, Jilla is definitely assured filmmaking","Vijay, Mohanlal, Kajal Aggarwal, Sampath, Soori, Mahath, Poornima Bhagyaraj, Nivetha Thomas"
Kayal,Romance,UA,25 Dec 2014,2 hrs 19 mins,,,3,3.1,"Towards the end, we lose our empathy for the characters and that is the film’s biggest tragedy","Chandran, Ananthi, Vincent, Devarajan, Florent Pereira, Harathy"
Kappal,Romance,UA,25 Dec 2014,2 hrs 36 mins,Vaibhav Reddy,Sonam Bajwa,3,3.2,"A comedy that is often silly, at times offensive but overall funny","Vaibhav, Sonam Bajwa, Karunakaran, Arjunan, VTV Ganesh, Venkat Sundar"
Pissasu,Horror,UA,18 Dec 2014,1 hr 54 mins,,,3,3.4,It starts out as a horror film but gradually turns into an emotional drama,"Naga, Prayaga, Radha Ravi, Kalyani, Nimmi"
Kaadu,Drama,UA,21 Nov 2014,2 hrs 26 mins,,,3,3.4,"The film has a vision, but there are so many detours in his plot that make the journey long and winding a bit.","Vitharth, Samskruthi, Muthukumar, Samuthirakani, Thambi Ramaiah, Naren, Singam Puli"
Thirudan Police,Comedy,UA,14 Nov 2014,2 hrs 16 mins,Dinesh,Aishwarya Rajesh,3,2.9,"The tone is uneven — one moment we are asked to get sentimental and then in the next, we are told to laugh","Dinesh, Iyshwarya Rajesh, Bala Saravanan, Naan Kadavul Rajendran, John Vijay, Muthuraman, Nitin Sathya, Rajesh, Aadukalam Naren"
Nerungi Va Muthamidathe,Drama,UA,31 Oct 2014,1 hr 54 mins,,,3,2.9,"Using a multi-strand narrative, Lakshmy Ramakrishnan constructs a film that is part road movie, part thriller, and part drama","Shabeer, Pia Bajpai, Sruthi Hariharan, Y Gee Mahendra, AL Alagappan, Thambi Ramaiah, Bala Saravanan"
Poojai,Action,UA,22 Oct 2014,2 hrs 40 mins,Vishal,Shruthi Hassan,3,3.1,"Poojai is closer to Vel in Hari’s filmography — not as powerful as Saamy but at the same time, not tedious like Seval","Vishal, Shruti Haasan, Sathyaraj, Radikaa Sarath Kumar, Mukesh Tiwari, Soori"
Kaththi,Action,UA,21 Oct 2014,2 hrs 46 mins,Vijay,Samantha Ruth Prabhu,3,3.6,"Kaththi is overlong, over-the-top, over-familiar, and overtly preachy","Vijay, Samantha, Neil Nitin Mukesh, Sathish, Tota Roy Chowdhury"
Paradesi,Drama,UA,15 Mar 2013,Nan,Atharvaa Murali,Sai Dhanshika,4.5,4.1,Editor Kishore T E ensures a crisp and satisfying watch. But what shines through all this is the vision of Bala.,"Atharvaa, Vedika, Dhansikaa"
Vasantha Maligai,Romance,UA,08 Mar 2013,2 hrs 50 mins,,,4.5,3.4,"Along with last year’s Karnan, Vasantha Maligai is further proof that old is indeed gold.","Sivaji Ganesan, Vanisri, Santhakumari, K Balaji, Nagesh, Srikanth, Major Sundarrajan, Pandari Bai"
Thalaimuraigal,Drama,UA,20 Dec 2013,1 hr 45 mins,,,4,4.1,"there is plenty of genuineness and warmth, which, elevated by the minimalist storytelling and genteel performances turn this simple film into the feel-good film of the year.","Balu Mahendra, Master Karthick, Sashi Kumar Subramony, Ramya Shankar, Vinodhini, Sasikumar"
Kalyana Samayal Saadham,Romance,UA,06 Dec 2013,2 hrs 11 mins,Prasanna,,4,4.1,"But, for all the subtext, the film plays out like a bubbly romantic comedy","Prasanna, Lekha Washington, Delhi Ganesh, Uma Padmanabhan, Raghav, Kathadi Ramamurthy"
Maryan,Drama,UA,19 Jul 2013,2 hrs 31 mins,Dhanush,Parvathi Menon,4,3.3,"A soulful love story, but candy floss is not on the menu.","Dhanush, Parvathy Menon, Jagan, Appukutty, Salim Kumar, Uma Riyaz Khan, Vinay"
Soodhu Kavvum,Comedy,UA,01 May 2013,2 hrs 17 mins,Vijay Sethupathi,Sanchita Shetty,4,4.2,Nalan Kumarasamy establishes himself as a director to watch out for in this laugh riot of a debut movie.,"Vijay Sethupathy, Simha, Sanchita Shetty, Karunakaran, RJ Ramesh Thilak, Ashok Selvan, Yog Japee, M S Bhaskar, Radha Ravi"
Chennaieil Oru Naal,Thriller,UA,29 Mar 2013,1 hr 56 mins,Sarathkumar,Radhika Sarathkumar,4,4,Chennaieil Oru Naal is a well-crafted movie that will shake you up and haunt you even after you get out the theatre.,"Prakash Raj, Radhikaa, Sarath Kumar, Cheran, Prasanna, Mithun, Lakshmy Ramakrishnan, Jayaprakash, Sachin, Parvathi Menon, Iniya"
Madha Yaanai Koottam,Action,UA,25 Dec 2013,2 hrs 19 mins,Kathir,Oviya helen,3.5,3.8,The film loses a bit of steam in the second half as it soon turns from being a deceptive and volatile multi-threaded plot into a very familiar one-track narrative about revenge,"Kathir, Oviya, Murugan Jee, Viji, Vela Ramamoorthy, Srijith"
Biriyani,Action,UA,20 Dec 2013,2 hrs 29 mins,Karthik,Hansika Motwani,3.5,3.7,Fun is certainly the core of Venkat Prabhu movies — not only the fun he has while making a film but the fun the audiences have while watching them,"Karthi, Premgi Amaren, Hansika, Nasser, Ramki, Mandy Thakkar, Sampath, Prem"
Vidiyum Munn,Thriller,UA,29 Nov 2013,2 hrs 19 mins,,,3.5,4,"The one major misstep is the climax, which is quite anti-climatic, but there some nail-biting moments","Pooja Umashankar, Malavika Manikuttan, Vinod Kishan, John Vijay, Amarendran, Lakshmy Ramakrishnan"
Pandiya Nadu,Action,UA,02 Nov 2013,2 hrs 25 mins,Vishal,Lakshmi Menon,3.5,4,"Suseenthiran gives us a smartly-written action drama, the film’s sore point is the romantic track.","Vishal, Lakshmi Menon, Bharathirajaa, Sharath Lohitashwa, Soori, Vikranth"
Ninaithale Inikkum,Romance,UA,04 Oct 2013,2 hrs 20 mins,Kamal Hassan,,3.5,3.7,"A four-member band goes to Singapore for a gig and the band’s lead singer falls in love with Sona, an enigmatic fan and a tragedy waiting to happen.","Kamal Haasan, Jayapradha, Rajinikanth,"
Idharkuthaane Aasaipattai Balakumara,Comedy,UA,02 Oct 2013,2 hrs 25 mins,Vijay Sethupathi,Nandita Swetha,3.5,3.1,The film lacks the sophistication of a Soodhu Kavvum or Pizza but makes up for it in sheer likeability.,"Vijay Sethupathi, Ashwin, Nandita, Swati, Pasupathy, Pattimandram Raja, Naan Kadavul Rajendran"
Onaiyum Aatukuttiyum,Thriller,UA,27 Sep 2013,2 hrs 23 mins,,,3.5,4.1,"Onaiyum Naikuttiyum, while a rung below Anjathey in the filmography of Mysskin, is a tense thriller.","Mysskin, Sree, Shaji, Bharath, Chaitanya, Mona"
Thanga Meenkal,Drama,UA,30 Aug 2013,2 hrs 20 mins,Ram,,3.5,2.8,"Thanga Meenkal, is in many ways a mirror image of the director’s flawed but fascinating debut film.","Ram, Baby Sadhana, Shelly Kishore, Rohini, Poo Ram, Padmapriya, Arul Dass, Lissy"
Aadhalal Kadhal Seiveer,Romance,UA,15 Aug 2013,1 hr 45 mins,Santhosh,Manisha Yadav,3.5,3.5,"Collegemates Karthik and Shweta fall in love and take it to the next level but the girl soon discovers that she is pregnant. And, when the parents find out, the consequences are startling…","Santhosh, Manisha Yadav, Jayaprakash, Thulasi, Poornima Bhagyaraj, Ramnath Shetty"
Singam 2,Action,UA,04 Jul 2013,2 hrs 47 mins,Suriya,Anushka,3.5,3.3,"It is fun to watch a slick commercial film and ‘Singam-2’ doesn’t disappoint, with Suriya in fine form as a cop who can do no wrong.","Suriya, Anushka, Hansika Motwani, Vivekh, Rahman, Mukesh Rishi, Danny Sapani, Santhanam"
Thillu Mullu,Comedy,UA,14 Jun 2013,2 hrs 20 mins,Shiva,Isha Talwar,3.5,2.8,"Will we remember Thillu Mullu version 2.0 years later. Probably not, but there is no denying the fact that it is entertaining while it lasts.","Shiva, Isha Talwar, Prakash Raj, Kovai Sarala, Soori, Monisha, Ilavarasu, Santhanam"
Theeya Velai Seyyanum Kumaru,Comedy,UA,14 Jun 2013,2 hrs 19 mins,Siddharth,Hansika Motwani,3.5,2.9,"If the movie works despite its predictable storyline, it is because of the terrific effort put in by the supporting cast.","Siddharth, Hansika Motwani, Santhanam, Ganesh Venkataraman, RJ Balaji, Vidyullekha Raman"
Neram,Romance,UA,10 May 2013,1 hr 57 mins,Nivin Pauly,Nazriya Nazim,3.5,3.3,The perfect casting works as a big positive for the movie. Nivin and Nazriya look natural as a couple in love.,"Nivin Pauly, Nazriya Nazim, Bobby Simha, John Vijay, Thambi Ramaiah, Nasser, RJ Ramesh Thilak"
Udhayam NH-4,Action,UA,19 Apr 2013,2 hrs 11 mins,Siddharth,Ashrita Shetty,3.5,2.9,The movie is an engaging watch thanks to the clean editing by Kishore T E.,"Siddharth, Ashrita Shetty, Kay Kay Menon"
Settai,Comedy,UA,05 Apr 2013,2 hrs 10 mins,Arya,Hansika Motwani,3.5,2.7,Forget there was a Delhi Belly and you’ll have a good time watching this film; even more so if you dig bathroom humour.,"Arya, Santhanam, Premgi, Anjali, Hansika, Nasser"
Kedi Billa Killadi Ranga,Comedy,UA,29 Mar 2013,2 hrs 28 mins,Sivakarthikeyan,Regina Cassandra,3.5,3.3,What sets this film apart is in the refreshingly effortless manner in which the director spins his tale.,"Vemal, Sivakarthikeyan, Bindu Madhavi, Regina Cassandra, Soori, Delhi Ganesh, Manoj Kumar"
Haridas,Drama,UA,22 Feb 2013,2 hrs 34 mins,,,3.5,3.7,"The only sore point of the movie, if one could point out, is the unnecessary item song in the first half of the movie.","Kishore, Prithviraj Das, Sneha, Pradeep Rawat, Suri, Yuhi Sethu"
Kanna Laddu Thinna Aasaiya,Comedy,UA,13 Jan 2013,2 hrs 20 mins,Santhanam,Vishakha Singh,3.5,3.1,"Manikandan gives all the three leads almost equal screen time, and maintains an easy pace throughout.","Santhanam, ‘Power Star’ Dr Srinivasan, Sethu, Vishakha Singh, V T V Ganesh, Shiv Shankar, Kovai Sarala, Devadarshini"
The Villa - Pizza 2,Horror,UA,14 Nov 2013,1 hr 42 mins,Ashok Selvan,Sanchita Shetty,3,3.1,"Comparisons with Pizza are inevitable and that is when The Villa’s cracks become evident. For one, this film is less fun and more moody.","Ashok Selvan, Sanchita, Nasser, Pizza Jayakumar, Boys Rajan, Veera Santhanam"
Arrambam,Thriller,UA,31 Oct 2013,2 hrs 32 mins,Ajith Kumar,Nayanthara,3,3.7,"Arrambam is a very familiar tale of corruption, betrayal and revenge, served up with a dash of style.","Ajith Kumar, Arya, Nayanthara, Taapsee, Mahesh Manjrekar, Atul Kulkarni, Kishore, Rana Daggubati, Suman Ranganath"
Vanakkam Chennai,Comedy,UA,11 Oct 2013,2 hrs 31 mins,Shiva,Priya Anand,3,3.1,Vanakkam Chennai is slick and enjoyable to an extent but also predictable.,"Shiva, Priya Anand, Santhanam, Rahul Ravindran, Urvasi, Renuka, Nizhalgal Ravi"
Raja Rani,Romance,UA,27 Sep 2013,2 hrs 44 mins,Arya,Nayanthara,3,3.3,"Even if things aren’t interesting below the surface, the director manages to keep them entertaining.","Arya, Jai, Nayanthara, Nazriya Nazim, Santhanam, Sathyaraj, Sathyan"
6 Melugu Vathigal,Thriller,UA,20 Sep 2013,2 hrs 11 mins,Shaam,,3,3.4,This is a sincerely made film that tries to ride on its lead performance.,"Shaam, Poonam Kaur, Master Vivedan, Munnar Ramesh, Anil Murali"
Vazhakku Enn 18/9,Drama,UA,04 May 2012,2 hrs 0 mins,Sri,,4.5,4.3,It is a bravura piece of filmmaking that will leave you stunned — and even invigorated — by the time it ends.,"Sri, Urmila Mahanta, Mithun Murali, Manisha Yadav, Muthuraman"
Naduvula Konjam Pakkatha Kaanom,Comedy,UA,30 Nov 2012,2 hrs 45 mins,Vijay Sethupathi,Gayathri,4,3.6,"A slip-up on the cricket field results in short-term memory loss for Prem (Vijay Sethupathy), who is set to marry his lover Dhanalakshmi (Gayatri) in a couple of days.","Vijay Sethupathy, Gayathri, Bagavathi Perumal, Rajkumar, Vigneswaran"
Sivaji 3D,Action,UA,12 Dec 2012,2 hrs 35 mins,Rajinikanth,Shriya Saran,4,3.6,Sivaji is still a very engaging watch in its 3D avatar because the issues it spoke about are still relevant.,"Rajinikanth, Shriya Saran, Vivekh, Suman, Raghuvaran"
Aarohanam,Drama,UA,26 Oct 2012,1 hr 30 mins,,,4,2.6,A must see for all lovers of good cinema.,"Viji Chandrashekhar, Marimuthu, Jai Queheni, Veeresh, Rajee Vijayasarathy, Uma Padmanabhan, Jayaprakash, Kavithalaya Krishnan, Sampath"
Pizza,Thriller,UA,19 Oct 2012,2 hrs 8 mins,Vijay Sethupathi,Ramya Nambeesan,4,3.9,"The perfect snack, served hot and delicious, at a time when the city is drowning in rain.","Vijay Sethupathy, Ramya Nambeesan, Naren, Jayakumar, Karunakaran"
Kaadhalil Sodhappuvadhu Yeppadi,Romance,UA,17 Feb 2012,2 hrs 15 mins,Siddharth,Amala Paul,4,3.9,"Go for it if you are in love, and also if you are suffering from a heartbreak.","Siddharth, Amala Paul, Arjun, Vignesh, Suresh, Ravi Raghavendra, Surekha Vani, Sriranjani, Shyam, Pooja"
Kumki,Drama,UA,14 Dec 2012,2 hrs 27 mins,Vikram Prabhu,Lakshmi Menon,3.5,2.9,"Kumki, Prabu Solomon’s ode to love in the times of elephant attacks, holds a lot of promise but sadly flatters only to deceive.","Vikram Prabhu, Lakshmi Menon, Thambi Ramaiah, Ashwin Raja, Manikkam the elephant"
Neethaane En Ponvasantham,Romance,UA,14 Dec 2012,2 hrs 33 mins,Jiiva,,3.5,2.9,"An ideal date movie, despite the slow pace and the flaws.","Jiiva, Samantha, Santhanam, Vidyullekha Raman, Ravi Raghavendra, Anupama Kumar"
Samar,Mystery,UA,13 Dec 2012,2 hrs 18 mins,Vishal,Trisha Krishnan,3.5,3,"If there is something to nitpick, it is only that the film never transcends its genre thrills to become something more.","Vishal, Trisha, J D Chakravarthy, Manoj Bajpayee, Sunaina, Jayaprakash, John Vijay, Sampath"
Neerparavai,Drama,UA,30 Nov 2012,2 hrs 17 mins,Vishnu Vishal,Sunainaa,3.5,3,The major strength of Neerparavai is the authenticity with which it recreates the life of a fishing community.,"Vishnu, Sunaina, Nandita Das, Saranya Ponvannan, Samuthirakani"
